"timestep","planner","seed","seconds","utility"
6,pmc,18,1382.293,3.947534577186229
7,pmc,18,1114.309,3.9461090151145797
8,pmc,18,1111.88,4.038855756077454
9,pmc,18,1034.396,3.988249602957234
10,pmc,18,1086.424,4.284576027625291
11,pmc,18,1046.037,4.672492563556263
12,pmc,18,1146.376,4.426937766512005
13,pmc,18,1012.336,4.543447372341399
14,pmc,18,1142.585,4.578106392443431
15,pmc,18,1103.321,4.589790551122703
16,pmc,18,1072.675,4.582298628135195
17,pmc,18,1047.473,4.670207984213244
18,pmc,18,1070.765,4.433639955566018
19,pmc,18,1056.927,4.50077877414631
20,pmc,18,1164.561,4.599592155392424
21,pmc,18,1077.165,4.243822633629762
22,pmc,18,1098.227,4.050519205661448
23,pmc,18,1382.158,3.87367191384535
24,pmc,18,1041.305,3.871965346837322
25,pmc,18,1069.113,3.9015612772820942
26,pmc,18,1038.304,4.009247765922039
27,pmc,18,1041.186,4.11817180616299
28,pmc,18,1067.746,4.253641097220963
29,pmc,18,988.183,4.311116330394622
30,pmc,18,963.818,4.0330073328894365
31,pmc,18,1028.641,3.9747063755009844
32,pmc,18,1092.673,4.054509501180765
33,pmc,18,1350.289,3.9140869935347595
34,pmc,18,1227.234,4.006428533515338
35,pmc,18,1152.983,4.109310940642198
36,pmc,18,1018.704,4.132572850375437
37,pmc,18,1016.288,3.726333049860378
38,pmc,18,973.145,3.8243821368465434
39,pmc,18,956.241,7.9186235627010815
0,pmc,19,712.378,3.07642643863889
1,pmc,19,847.056,2.7807600760030824
2,pmc,19,929.74,2.8266783410354086
3,pmc,19,881.79,3.1341468883530514
4,pmc,19,1109.637,3.401750193720593
5,pmc,19,1645.113,3.488079715520442
6,pmc,19,1374.843,3.6016525679389573
7,pmc,19,1524.303,3.9981694088056887
8,pmc,19,1148.679,4.317594053902099
9,pmc,19,1053.335,4.181561886394473
10,pmc,19,1007.44,4.26555827584886
11,pmc,19,1051.263,4.2310316996078905
12,pmc,19,1129.781,3.9307347518761726
13,pmc,19,1113.775,3.946144918355984
14,pmc,19,1132.587,4.242564629986671
15,pmc,19,1078.687,4.023851152523954
16,pmc,19,1122.956,3.960334811584181
17,pmc,19,1197.405,4.094746028642326
18,pmc,19,1117.61,4.33831242592772
19,pmc,19,1168.387,4.5928610304697335
20,pmc,19,1176.799,4.581927822606116
21,pmc,19,1076.457,4.451613099250097
22,pmc,19,1022.318,4.329152226308655
23,pmc,19,980.51,4.050381940665663
24,pmc,19,1024.973,4.163543937897296
25,pmc,19,1267.434,4.215477181624075
26,pmc,19,1014.526,4.092306951027469
27,pmc,19,1036.146,3.8379403311605467
28,pmc,19,1026.424,3.882953967898078
29,pmc,19,966.502,3.985652982604844
