timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,seed,popsize
5,24,15,772,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,25,15,741,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,26,15,831,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,27,15,934,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,28,15,989,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
5,29,15,858,2.32936,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,24.0,20,1000
6,0,13,1568,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,10.0,20,1000
6,1,13,1096,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,14.0,20,1000
6,2,13,731,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,17.0,20,1000
6,3,13,735,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,19.0,20,1000
6,4,13,619,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,5,13,751,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,6,13,900,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,7,13,691,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,8,13,879,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,9,13,721,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,10,13,703,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,11,13,632,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,12,13,434,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,13,13,572,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,14,13,433,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,15,13,348,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,21.0,20,1000
6,16,13,425,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,17,13,436,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,18,13,555,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,19,13,473,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,20,13,414,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,21,13,381,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,22,13,471,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,23,13,371,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,24,13,423,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,25,13,849,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,26,13,663,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,27,13,803,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,28,13,747,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
6,29,13,655,2.60953,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,20.0,20,1000
7,0,12,1553,3.02662,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,11.0,20,1000
7,1,12,1281,3.02662,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,15.0,20,1000
7,2,12,712,3.02662,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,17.0,20,1000
7,3,12,817,3.02662,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,17.0,20,1000
7,4,12,950,3.02662,-1.0,-1.0,short,mutator,10000,0.9,0.75,0.1,nodec2,17.0,20,1000
